#file automatically generated
#size: 14 3
           1            0            0
        0.01            0            0
         100            0            0
           3            0            0
    0.433017            0            0
     115.087     0.198653  0.000492058
     782.927     -21.7171  -0.00878553
    -21.7171      3.92774 -0.000115195
 -0.00878553 -0.000115195  2.97598e-07
    0.566983            0            0
     44.2159    -0.328892   0.00764112
     709.684     -6.89697    -0.030455
    -6.89697      3.37018 -0.000944767
   -0.030455 -0.000944767  2.27681e-05
