#file automatically generated
#size: 58 3
    0.015895    0.0872073   0.00975395
   -0.485556    -0.143548  0.000384094
    0.765309     0.136898   0.00731586
   -0.312648     0.132887  0.000773561
  -0.0568962    -0.414761   0.00773162
    0.163557  -0.00512038   0.00966087
      0.1098    -0.493205   0.00943253
   -0.208131    -0.381936   0.00456804
    0.223037    -0.362718   0.00858111
  -0.0324778    0.0193208   0.00573364
   -0.463641   -0.0729079  0.000387869
   0.0507769     0.189981   0.00354312
   -0.117736     0.302208   0.00273527
    0.567119    -0.540523    0.0114174
    0.438512    0.0138416   0.00641395
    -0.26571    -0.242672   0.00268702
    0.334837     0.319844   0.00680808
   -0.103562    0.0617646    0.0027811
    -0.29516   -0.0434626    0.0038026
    0.735533     0.303826   0.00590853
    -0.33197     0.341015   0.00015048
    0.212428     0.079131   0.00286919
   -0.495753    -0.202759  0.000374808
    0.232066    0.0847936   0.00479816
   0.0617213     0.102234    0.0036593
   -0.229987     0.627339  0.000215791
   -0.481244    -0.336109   0.00103095
   -0.202926      0.46348  0.000972311
  -0.0378011   -0.0037933   0.00542786
   -0.355843    -0.194139   0.00148801
    0.246577    -0.242681   0.00863531
    0.650456     0.124391   0.00700746
  -0.0539881    -0.171991   0.00619568
    0.211921     0.446727   0.00420672
    0.480763     0.163828   0.00681798
  -0.0748513    -0.106131   0.00659792
    0.274975     0.289514   0.00538839
     0.24714     0.465382   0.00436634
   -0.557182    -0.307431  0.000357097
   -0.206026     0.264041  0.000565298
   -0.582954     0.253823 -0.000462376
   -0.436879   -0.0120851  0.000442526
   -0.357927      0.20962   0.00029315
     0.30564    -0.274209   0.00915778
   -0.411126     0.357886 -4.19892e-05
    0.121841    -0.339609    0.0114105
     0.28108    -0.107401   0.00811645
   -0.399509     0.251644  0.000137177
    0.273309     0.256389   0.00499271
   -0.312324     0.170304  0.000519678
    0.595601    0.0222347   0.00490383
   -0.587756    -0.261631  0.000186822
   -0.400169    0.0261228  0.000564427
    0.585998    -0.017291   0.00874577
    0.240276      -0.4207   0.00624105
    0.416462    -0.367175    0.0102004
   -0.409564    -0.202253  0.000809045
    0.424667    -0.299436   0.00929825
